"vorname","anzahl","geschlecht","Kiez","year"
"Marie",122,"w","Charlottenburg-Wilmersdorf",2012
"Sophie",105,"w","Charlottenburg-Wilmersdorf",2012
"Charlotte",78,"w","Charlottenburg-Wilmersdorf",2012
"Maria",69,"w","Charlottenburg-Wilmersdorf",2012
"Paul",66,"m","Charlottenburg-Wilmersdorf",2012
"Emilia",61,"w","Charlottenburg-Wilmersdorf",2012
"Maximilian",59,"m","Charlottenburg-Wilmersdorf",2012
"Elias",55,"m","Charlottenburg-Wilmersdorf",2012
"Luise",54,"w","Charlottenburg-Wilmersdorf",2012
"Alexander",53,"m","Charlottenburg-Wilmersdorf",2012
"Anna",52,"w","Charlottenburg-Wilmersdorf",2012
"Jakob",51,"m","Charlottenburg-Wilmersdorf",2012
"Anton",49,"m","Charlottenburg-Wilmersdorf",2012
"Emma",45,"w","Charlottenburg-Wilmersdorf",2012
"Johanna",45,"w","Charlottenburg-Wilmersdorf",2012
"David",44,"m","Charlottenburg-Wilmersdorf",2012
"Noah",43,"m","Charlottenburg-Wilmersdorf",2012
"Felix",42,"m","Charlottenburg-Wilmersdorf",2012
"Leon",41,"m","Charlottenburg-Wilmersdorf",2012
"Elisabeth",39,"w","Charlottenburg-Wilmersdorf",2012
"Jonathan",39,"m","Charlottenburg-Wilmersdorf",2012
"Mia",39,"w","Charlottenburg-Wilmersdorf",2012
"Sophia",39,"w","Charlottenburg-Wilmersdorf",2012
"Emil",38,"m","Charlottenburg-Wilmersdorf",2012
"Oskar",35,"m","Charlottenburg-Wilmersdorf",2012
"Helene",34,"w","Charlottenburg-Wilmersdorf",2012
"Benjamin",33,"m","Charlottenburg-Wilmersdorf",2012
"Jonas",33,"m","Charlottenburg-Wilmersdorf",2012
"Ben",31,"m","Charlottenburg-Wilmersdorf",2012
"Elisa",27,"w","Charlottenburg-Wilmersdorf",2012
"Luisa",26,"w","Charlottenburg-Wilmersdorf",2012
"Hannah",25,"w","Charlottenburg-Wilmersdorf",2012
"Friedrich",25,"m","Charlottenburg-Wilmersdorf",2012
"Laura",25,"w","Charlottenburg-Wilmersdorf",2012
"Moritz",25,"m","Charlottenburg-Wilmersdorf",2012
"Marlene",25,"w","Charlottenburg-Wilmersdorf",2012
"Theodor",25,"m","Charlottenburg-Wilmersdorf",2012
"Valentin",25,"m","Charlottenburg-Wilmersdorf",2012
"Vincent",25,"m","Charlottenburg-Wilmersdorf",2012
"Clara",24,"w","Charlottenburg-Wilmersdorf",2012
"Julian",24,"m","Charlottenburg-Wilmersdorf",2012
"Leonard",24,"m","Charlottenburg-Wilmersdorf",2012
"Helena",23,"w","Charlottenburg-Wilmersdorf",2012
"Lina",23,"w","Charlottenburg-Wilmersdorf",2012
"Samuel",23,"m","Charlottenburg-Wilmersdorf",2012
"Victoria",22,"w","Charlottenburg-Wilmersdorf",2012
"Johann",22,"m","Charlottenburg-Wilmersdorf",2012
"Levi",22,"m","Charlottenburg-Wilmersdorf",2012
"Lukas",22,"m","Charlottenburg-Wilmersdorf",2012
"Isabella",21,"w","Charlottenburg-Wilmersdorf",2012
"Matilda",21,"w","Charlottenburg-Wilmersdorf",2012
"Maya",21,"w","Charlottenburg-Wilmersdorf",2012
"Mina",21,"w","Charlottenburg-Wilmersdorf",2012
"Jan",21,"m","Charlottenburg-Wilmersdorf",2012
"Luca",21,"m","Charlottenburg-Wilmersdorf",2012
"Tim",21,"m","Charlottenburg-Wilmersdorf",2012
"Antonia",20,"w","Charlottenburg-Wilmersdorf",2012
"Ella",20,"w","Charlottenburg-Wilmersdorf",2012
"Valentina",20,"w","Charlottenburg-Wilmersdorf",2012
"Julius",20,"m","Charlottenburg-Wilmersdorf",2012
"Greta",19,"w","Charlottenburg-Wilmersdorf",2012
"Magdalena",19,"w","Charlottenburg-Wilmersdorf",2012
"Carl",19,"m","Charlottenburg-Wilmersdorf",2012
"Mathilda",19,"w","Charlottenburg-Wilmersdorf",2012
"Daniel",19,"m","Charlottenburg-Wilmersdorf",2012
"Pauline",19,"w","Charlottenburg-Wilmersdorf",2012
"Johannes",19,"m","Charlottenburg-Wilmersdorf",2012
"Leo",19,"m","Charlottenburg-Wilmersdorf",2012
"Luis",19,"m","Charlottenburg-Wilmersdorf",2012
"Philipp",19,"m","Charlottenburg-Wilmersdorf",2012
"Amelie",18,"w","Charlottenburg-Wilmersdorf",2012
"Hanna",18,"w","Charlottenburg-Wilmersdorf",2012
"Lisa",18,"w","Charlottenburg-Wilmersdorf",2012
"Mila",18,"w","Charlottenburg-Wilmersdorf",2012
"Bruno",18,"m","Charlottenburg-Wilmersdorf",2012
"Viktoria",18,"w","Charlottenburg-Wilmersdorf",2012
"Michael",18,"m","Charlottenburg-Wilmersdorf",2012
"Julia",17,"w","Charlottenburg-Wilmersdorf",2012
"Andreas",17,"m","Charlottenburg-Wilmersdorf",2012
"Lara",17,"w","Charlottenburg-Wilmersdorf",2012
"Gabriel",17,"m","Charlottenburg-Wilmersdorf",2012
"Leonie",17,"w","Charlottenburg-Wilmersdorf",2012
"Liam",17,"m","Charlottenburg-Wilmersdorf",2012
"Max",17,"m","Charlottenburg-Wilmersdorf",2012
"Niklas",17,"m","Charlottenburg-Wilmersdorf",2012
"Richard",17,"m","Charlottenburg-Wilmersdorf",2012
"Alma",16,"w","Charlottenburg-Wilmersdorf",2012
"Pia",16,"w","Charlottenburg-Wilmersdorf",2012
"Adrian",16,"m","Charlottenburg-Wilmersdorf",2012
"Frederik",16,"m","Charlottenburg-Wilmersdorf",2012
"Henry",16,"m","Charlottenburg-Wilmersdorf",2012
"Konstantin",16,"m","Charlottenburg-Wilmersdorf",2012
"Louis",16,"m","Charlottenburg-Wilmersdorf",2012
"Maxim",16,"m","Charlottenburg-Wilmersdorf",2012
"Mika",16,"m","Charlottenburg-Wilmersdorf",2012
"Louisa",15,"w","Charlottenburg-Wilmersdorf",2012
"Paula",15,"w","Charlottenburg-Wilmersdorf",2012
"Arthur",15,"m","Charlottenburg-Wilmersdorf",2012
"Leopold",15,"m","Charlottenburg-Wilmersdorf",2012
"Linus",15,"m","Charlottenburg-Wilmersdorf",2012
"Simon",15,"m","Charlottenburg-Wilmersdorf",2012
"Theo",15,"m","Charlottenburg-Wilmersdorf",2012
"Frieda",14,"w","Charlottenburg-Wilmersdorf",2012
"Josefine",14,"w","Charlottenburg-Wilmersdorf",2012
"Katharina",14,"w","Charlottenburg-Wilmersdorf",2012
"Lia",14,"w","Charlottenburg-Wilmersdorf",2012
"Rosa",14,"w","Charlottenburg-Wilmersdorf",2012
"Sofia",14,"w","Charlottenburg-Wilmersdorf",2012
"Aaron",14,"m","Charlottenburg-Wilmersdorf",2012
"Ali",14,"m","Charlottenburg-Wilmersdorf",2012
"Erik",14,"m","Charlottenburg-Wilmersdorf",2012
"Justus",14,"m","Charlottenburg-Wilmersdorf",2012
"Karl",14,"m","Charlottenburg-Wilmersdorf",2012
"Oliver",14,"m","Charlottenburg-Wilmersdorf",2012
"Robert",14,"m","Charlottenburg-Wilmersdorf",2012
"Alexandra",13,"w","Charlottenburg-Wilmersdorf",2012
"Amalia",13,"w","Charlottenburg-Wilmersdorf",2012
"Ava",13,"w","Charlottenburg-Wilmersdorf",2012
"Elena",13,"w","Charlottenburg-Wilmersdorf",2012
"Lea",13,"w","Charlottenburg-Wilmersdorf",2012
"Mira",13,"w","Charlottenburg-Wilmersdorf",2012
"Nele",13,"w","Charlottenburg-Wilmersdorf",2012
"Sarah",13,"w","Charlottenburg-Wilmersdorf",2012
"Ferdinand",13,"m","Charlottenburg-Wilmersdorf",2012
"Franz",13,"m","Charlottenburg-Wilmersdorf",2012
"Henri",13,"m","Charlottenburg-Wilmersdorf",2012
"Hugo",13,"m","Charlottenburg-Wilmersdorf",2012
"Nils",13,"m","Charlottenburg-Wilmersdorf",2012
"Peter",13,"m","Charlottenburg-Wilmersdorf",2012
"Sebastian",13,"m","Charlottenburg-Wilmersdorf",2012
"Tom",13,"m","Charlottenburg-Wilmersdorf",2012
"Emily",12,"w","Charlottenburg-Wilmersdorf",2012
"Lena",12,"w","Charlottenburg-Wilmersdorf",2012
"Lotta",12,"w","Charlottenburg-Wilmersdorf",2012
"Lucia",12,"w","Charlottenburg-Wilmersdorf",2012
"Constantin",12,"m","Charlottenburg-Wilmersdorf",2012
"Fabian",12,"m","Charlottenburg-Wilmersdorf",2012
"Finn",12,"m","Charlottenburg-Wilmersdorf",2012
"Florian",12,"m","Charlottenburg-Wilmersdorf",2012
"Fritz",12,"m","Charlottenburg-Wilmersdorf",2012
"Joshua",12,"m","Charlottenburg-Wilmersdorf",2012
"Nico",12,"m","Charlottenburg-Wilmersdorf",2012
"Rafael",12,"m","Charlottenburg-Wilmersdorf",2012
"Tobias",12,"m","Charlottenburg-Wilmersdorf",2012
"Ela",11,"w","Charlottenburg-Wilmersdorf",2012
"Eva",11,"w","Charlottenburg-Wilmersdorf",2012
"Ida",11,"w","Charlottenburg-Wilmersdorf",2012
"Josephine",11,"w","Charlottenburg-Wilmersdorf",2012
"Olivia",11,"w","Charlottenburg-Wilmersdorf",2012
"Nicolas",11,"m","Charlottenburg-Wilmersdorf",2012
"Thomas",11,"m","Charlottenburg-Wilmersdorf",2012
"Marie",66,"w","Friedrichshain-Kreuzberg",2012
"Sophie",52,"w","Friedrichshain-Kreuzberg",2012
"Maria",41,"w","Friedrichshain-Kreuzberg",2012
"Emil",37,"m","Friedrichshain-Kreuzberg",2012
"Anton",31,"m","Friedrichshain-Kreuzberg",2012
"Paul",31,"m","Friedrichshain-Kreuzberg",2012
"Alexander",30,"m","Friedrichshain-Kreuzberg",2012
"Emma",29,"w","Friedrichshain-Kreuzberg",2012
"Maximilian",28,"m","Friedrichshain-Kreuzberg",2012
"Charlotte",28,"w","Friedrichshain-Kreuzberg",2012
"Johanna",28,"w","Friedrichshain-Kreuzberg",2012
"Luise",25,"w","Friedrichshain-Kreuzberg",2012
"Elias",24,"m","Friedrichshain-Kreuzberg",2012
"Jakob",24,"m","Friedrichshain-Kreuzberg",2012
"Anna",24,"w","Friedrichshain-Kreuzberg",2012
"Emilia",24,"w","Friedrichshain-Kreuzberg",2012
"David",22,"m","Friedrichshain-Kreuzberg",2012
"Luca",22,"m","Friedrichshain-Kreuzberg",2012
"Moritz",22,"m","Friedrichshain-Kreuzberg",2012
"Sophia",21,"w","Friedrichshain-Kreuzberg",2012
"Oskar",21,"m","Friedrichshain-Kreuzberg",2012
"Anh",19,"w","Friedrichshain-Kreuzberg",2012
"Felix",19,"m","Friedrichshain-Kreuzberg",2012
"Helene",18,"w","Friedrichshain-Kreuzberg",2012
"Karl",18,"m","Friedrichshain-Kreuzberg",2012
"Paula",18,"w","Friedrichshain-Kreuzberg",2012
"Mia",17,"w","Friedrichshain-Kreuzberg",2012
"Ben",16,"m","Friedrichshain-Kreuzberg",2012
"Julian",16,"m","Friedrichshain-Kreuzberg",2012
"Ella",16,"w","Friedrichshain-Kreuzberg",2012
"Max",16,"m","Friedrichshain-Kreuzberg",2012
"Lea",16,"w","Friedrichshain-Kreuzberg",2012
"Sebastian",16,"m","Friedrichshain-Kreuzberg",2012
"Mathilda",16,"w","Friedrichshain-Kreuzberg",2012
"Ali",15,"m","Friedrichshain-Kreuzberg",2012
"Lena",15,"w","Friedrichshain-Kreuzberg",2012
"Friedrich",15,"m","Friedrichshain-Kreuzberg",2012
"Leonie",15,"w","Friedrichshain-Kreuzberg",2012
"Leon",15,"m","Friedrichshain-Kreuzberg",2012
"Luis",15,"m","Friedrichshain-Kreuzberg",2012
"Noah",15,"m","Friedrichshain-Kreuzberg",2012
"Greta",14,"w","Friedrichshain-Kreuzberg",2012
"Hannah",14,"w","Friedrichshain-Kreuzberg",2012
"Lisa",14,"w","Friedrichshain-Kreuzberg",2012
"Benjamin",14,"m","Friedrichshain-Kreuzberg",2012
"Pia",14,"w","Friedrichshain-Kreuzberg",2012
"Hannes",14,"m","Friedrichshain-Kreuzberg",2012
"Louis",14,"m","Friedrichshain-Kreuzberg",2012
"Ole",14,"m","Friedrichshain-Kreuzberg",2012
"Tim",14,"m","Friedrichshain-Kreuzberg",2012
"Yusuf",14,"m","Friedrichshain-Kreuzberg",2012
"Clara",13,"w","Friedrichshain-Kreuzberg",2012
"Elisabeth",13,"w","Friedrichshain-Kreuzberg",2012
"Lina",13,"w","Friedrichshain-Kreuzberg",2012
"Marlene",13,"w","Friedrichshain-Kreuzberg",2012
"Martha",13,"w","Friedrichshain-Kreuzberg",2012
"Jonas",13,"m","Friedrichshain-Kreuzberg",2012
"Rosa",13,"w","Friedrichshain-Kreuzberg",2012
"Lucas",13,"m","Friedrichshain-Kreuzberg",2012
"Theodor",13,"m","Friedrichshain-Kreuzberg",2012
"Vincent",13,"m","Friedrichshain-Kreuzberg",2012
"Elif",12,"w","Friedrichshain-Kreuzberg",2012
"Berat",12,"m","Friedrichshain-Kreuzberg",2012
"Joel",12,"m","Friedrichshain-Kreuzberg",2012
"Johannes",12,"m","Friedrichshain-Kreuzberg",2012
"Kevin",12,"m","Friedrichshain-Kreuzberg",2012
"Muhammed",12,"m","Friedrichshain-Kreuzberg",2012
"Carlotta",11,"w","Friedrichshain-Kreuzberg",2012
"Emily",11,"w","Friedrichshain-Kreuzberg",2012
"Julia",11,"w","Friedrichshain-Kreuzberg",2012
"Lara",11,"w","Friedrichshain-Kreuzberg",2012
"Lilly",11,"w","Friedrichshain-Kreuzberg",2012
"Mila",11,"w","Friedrichshain-Kreuzberg",2012
"Erik",11,"m","Friedrichshain-Kreuzberg",2012
"Frederik",11,"m","Friedrichshain-Kreuzberg",2012
"Henri",11,"m","Friedrichshain-Kreuzberg",2012
"Johann",11,"m","Friedrichshain-Kreuzberg",2012
"Leonard",11,"m","Friedrichshain-Kreuzberg",2012
"Lukas",11,"m","Friedrichshain-Kreuzberg",2012
"Minh",11,"m","Friedrichshain-Kreuzberg",2012
"Sophie",70,"w","Lichtenberg",2012
"Marie",53,"w","Lichtenberg",2012
"Alexander",44,"m","Lichtenberg",2012
"Luca",43,"m","Lichtenberg",2012
"Oskar",39,"m","Lichtenberg",2012
"Paul",39,"m","Lichtenberg",2012
"Maximilian",38,"m","Lichtenberg",2012
"Elias",32,"m","Lichtenberg",2012
"Charlotte",31,"w","Lichtenberg",2012
"Leon",30,"m","Lichtenberg",2012
"Emma",29,"w","Lichtenberg",2012
"Johanna",28,"w","Lichtenberg",2012
"Lea",27,"w","Lichtenberg",2012
"Ben",27,"m","Lichtenberg",2012
"Mia",26,"w","Lichtenberg",2012
"Pia",25,"w","Lichtenberg",2012
"Felix",24,"m","Lichtenberg",2012
"Lina",23,"w","Lichtenberg",2012
"Anton",23,"m","Lichtenberg",2012
"Emily",22,"w","Lichtenberg",2012
"Jonas",22,"m","Lichtenberg",2012
"Luise",21,"w","Lichtenberg",2012
"Emil",21,"m","Lichtenberg",2012
"Emilia",20,"w","Lichtenberg",2012
"Joel",20,"m","Lichtenberg",2012
"Sophia",20,"w","Lichtenberg",2012
"Finn",19,"m","Lichtenberg",2012
"Leonie",19,"w","Lichtenberg",2012
"Moritz",19,"m","Lichtenberg",2012
"Maria",18,"w","Lichtenberg",2012
"Louis",18,"m","Lichtenberg",2012
"Tim",18,"m","Lichtenberg",2012
"Lena",17,"w","Lichtenberg",2012
"Max",17,"m","Lichtenberg",2012
"Tom",17,"m","Lichtenberg",2012
"Noah",16,"m","Lichtenberg",2012
"Mathilda",15,"w","Lichtenberg",2012
"Nele",15,"w","Lichtenberg",2012
"Philipp",15,"m","Lichtenberg",2012
"Luisa",14,"w","Lichtenberg",2012
"Florian",14,"m","Lichtenberg",2012
"Friedrich",14,"m","Lichtenberg",2012
"Lukas",14,"m","Lichtenberg",2012
"Amelie",13,"w","Lichtenberg",2012
"Anna",13,"w","Lichtenberg",2012
"Josephine",13,"w","Lichtenberg",2012
"Lilly",13,"w","Lichtenberg",2012
"Marlene",13,"w","Lichtenberg",2012
"John",13,"m","Lichtenberg",2012
"Vincent",13,"m","Lichtenberg",2012
"Alexandra",12,"w","Lichtenberg",2012
"Hanna",12,"w","Lichtenberg",2012
"Fabian",12,"m","Lichtenberg",2012
"Pascal",12,"m","Lichtenberg",2012
"Sebastian",12,"m","Lichtenberg",2012
"Isabella",11,"w","Lichtenberg",2012
"Laura",11,"w","Lichtenberg",2012
"Benjamin",11,"m","Lichtenberg",2012
"Jonathan",11,"m","Lichtenberg",2012
"Michael",11,"m","Lichtenberg",2012
"Ole",11,"m","Lichtenberg",2012
"Sophie",27,"w","Marzahn-Hellersdorf",2012
"Marie",21,"w","Marzahn-Hellersdorf",2012
"Alexander",16,"m","Marzahn-Hellersdorf",2012
"Mia",15,"w","Marzahn-Hellersdorf",2012
"Anna",12,"w","Marzahn-Hellersdorf",2012
"Charlotte",12,"w","Marzahn-Hellersdorf",2012
"Emily",12,"w","Marzahn-Hellersdorf",2012
"Emma",11,"w","Marzahn-Hellersdorf",2012
"Sophia",11,"w","Marzahn-Hellersdorf",2012
"Marie",83,"w","Mitte",2012
"Sophie",69,"w","Mitte",2012
"Alexander",53,"m","Mitte",2012
"Paul",48,"m","Mitte",2012
"Maria",47,"w","Mitte",2012
"Emilia",39,"w","Mitte",2012
"Maximilian",38,"m","Mitte",2012
"Ali",35,"m","Mitte",2012
"Felix",33,"m","Mitte",2012
"Helene",32,"w","Mitte",2012
"David",32,"m","Mitte",2012
"Sophia",31,"w","Mitte",2012
"Elias",31,"m","Mitte",2012
"Jonas",31,"m","Mitte",2012
"Anna",30,"w","Mitte",2012
"Julia",28,"w","Mitte",2012
"Emil",28,"m","Mitte",2012
"Luise",28,"w","Mitte",2012
"Mia",27,"w","Mitte",2012
"Charlotte",26,"w","Mitte",2012
"Johanna",26,"w","Mitte",2012
"Anton",25,"m","Mitte",2012
"Julian",25,"m","Mitte",2012
"Clara",25,"w","Mitte",2012
"Emma",25,"w","Mitte",2012
"Adrian",24,"m","Mitte",2012
"Lukas",24,"m","Mitte",2012
"Jakob",23,"m","Mitte",2012
"Lena",23,"w","Mitte",2012
"Benjamin",22,"m","Mitte",2012
"Johannes",22,"m","Mitte",2012
"Ella",22,"w","Mitte",2012
"Victoria",22,"w","Mitte",2012
"Michael",21,"m","Mitte",2012
"Emir",20,"m","Mitte",2012
"Lara",20,"w","Mitte",2012
"Johann",20,"m","Mitte",2012
"Luca",20,"m","Mitte",2012
"Oskar",20,"m","Mitte",2012
"Leon",19,"m","Mitte",2012
"Louis",19,"m","Mitte",2012
"Max",19,"m","Mitte",2012
"Philipp",19,"m","Mitte",2012
"Samuel",19,"m","Mitte",2012
"Elisabeth",18,"w","Mitte",2012
"Daniel",18,"m","Mitte",2012
"Friedrich",18,"m","Mitte",2012
"Leonard",18,"m","Mitte",2012
"Mehmet",18,"m","Mitte",2012
"Lisa",17,"w","Mitte",2012
"Mila",17,"w","Mitte",2012
"Jonathan",17,"m","Mitte",2012
"Noah",17,"m","Mitte",2012
"Elif",16,"w","Mitte",2012
"Lea",16,"w","Mitte",2012
"Lilly",16,"w","Mitte",2012
"Nur",16,"w","Mitte",2012
"Berat",16,"m","Mitte",2012
"Julius",16,"m","Mitte",2012
"Theo",16,"m","Mitte",2012
"Paula",15,"w","Mitte",2012
"Ben",15,"m","Mitte",2012
"Valentin",15,"m","Mitte",2012
"Luisa",14,"w","Mitte",2012
"Sarah",14,"w","Mitte",2012
"Adam",14,"m","Mitte",2012
"Joel",14,"m","Mitte",2012
"Karl",14,"m","Mitte",2012
"Moritz",14,"m","Mitte",2012
"Hannah",13,"w","Mitte",2012
"Helena",13,"w","Mitte",2012
"Pauline",13,"w","Mitte",2012
"Carl",13,"m","Mitte",2012
"Frederik",13,"m","Mitte",2012
"Gabriel",13,"m","Mitte",2012
"Richard",13,"m","Mitte",2012
"Vincent",13,"m","Mitte",2012
"Mathilda",12,"w","Mitte",2012
"Maya",12,"w","Mitte",2012
"Sara",12,"w","Mitte",2012
"Valentina",12,"w","Mitte",2012
"August",12,"m","Mitte",2012
"Erik",12,"m","Mitte",2012
"Hans",12,"m","Mitte",2012
"Henri",12,"m","Mitte",2012
"Jan",12,"m","Mitte",2012
"Mats",12,"m","Mitte",2012
"Mika",12,"m","Mitte",2012
"Sebastian",12,"m","Mitte",2012
"Theodor",12,"m","Mitte",2012
"Tim",12,"m","Mitte",2012
"Antonia",11,"w","Mitte",2012
"Ela",11,"w","Mitte",2012
"Elisa",11,"w","Mitte",2012
"Emily",11,"w","Mitte",2012
"Fatima",11,"w","Mitte",2012
"Greta",11,"w","Mitte",2012
"Hanna",11,"w","Mitte",2012
"Josephine",11,"w","Mitte",2012
"Laura",11,"w","Mitte",2012
"Leonie",11,"w","Mitte",2012
"Marlene",11,"w","Mitte",2012
"Milena",11,"w","Mitte",2012
"Nisa",11,"w","Mitte",2012
"Can",11,"m","Mitte",2012
"Christian",11,"m","Mitte",2012
"Gustav",11,"m","Mitte",2012
"Lucas",11,"m","Mitte",2012
"Luis",11,"m","Mitte",2012
"Martin",11,"m","Mitte",2012
"Milan",11,"m","Mitte",2012
"Minh",11,"m","Mitte",2012
"Mohamed",11,"m","Mitte",2012
"Mohammad",11,"m","Mitte",2012
"Muhammed",11,"m","Mitte",2012
"Ole",11,"m","Mitte",2012
"Raphael",11,"m","Mitte",2012
"Marie",58,"w","Neukölln",2012
"Ali",46,"m","Neukölln",2012
"Sophie",46,"w","Neukölln",2012
"Luca",37,"m","Neukölln",2012
"Alexander",36,"m","Neukölln",2012
"Maria",35,"w","Neukölln",2012
"Paul",33,"m","Neukölln",2012
"Mia",30,"w","Neukölln",2012
"Leon",28,"m","Neukölln",2012
"Charlotte",28,"w","Neukölln",2012
"Maximilian",25,"m","Neukölln",2012
"Emilia",23,"w","Neukölln",2012
"Johanna",23,"w","Neukölln",2012
"Lukas",22,"m","Neukölln",2012
"Luise",22,"w","Neukölln",2012
"David",21,"m","Neukölln",2012
"Finn",21,"m","Neukölln",2012
"Ben",19,"m","Neukölln",2012
"Emil",19,"m","Neukölln",2012
"Felix",19,"m","Neukölln",2012
"Emma",18,"w","Neukölln",2012
"Luisa",18,"w","Neukölln",2012
"Anton",18,"m","Neukölln",2012
"Max",18,"m","Neukölln",2012
"Lena",17,"w","Neukölln",2012
"Lina",17,"w","Neukölln",2012
"Sophia",17,"w","Neukölln",2012
"Anna",16,"w","Neukölln",2012
"Berat",15,"m","Neukölln",2012
"Elias",15,"m","Neukölln",2012
"Yusuf",15,"m","Neukölln",2012
"Leonie",14,"w","Neukölln",2012
"Adam",14,"m","Neukölln",2012
"Jan",14,"m","Neukölln",2012
"Joel",14,"m","Neukölln",2012
"Jonas",14,"m","Neukölln",2012
"Noah",14,"m","Neukölln",2012
"Can",13,"m","Neukölln",2012
"Hanna",12,"w","Neukölln",2012
"Josephine",12,"w","Neukölln",2012
"Lara",12,"w","Neukölln",2012
"Melina",12,"w","Neukölln",2012
"Adrian",12,"m","Neukölln",2012
"Fabian",12,"m","Neukölln",2012
"Muhammed",12,"m","Neukölln",2012
"Samuel",12,"m","Neukölln",2012
"Alicia",11,"w","Neukölln",2012
"Hannah",11,"w","Neukölln",2012
"Lea",11,"w","Neukölln",2012
"Leni",11,"w","Neukölln",2012
"Mila",11,"w","Neukölln",2012
"Nur",11,"w","Neukölln",2012
"Benjamin",11,"m","Neukölln",2012
"Daniel",11,"m","Neukölln",2012
"Efe",11,"m","Neukölln",2012
"Emir",11,"m","Neukölln",2012
"Ibrahim",11,"m","Neukölln",2012
"Jonathan",11,"m","Neukölln",2012
"Luis",11,"m","Neukölln",2012
"Niklas",11,"m","Neukölln",2012
"Sebastian",11,"m","Neukölln",2012
"Yasin",11,"m","Neukölln",2012
"Marie",107,"w","Pankow",2012
"Sophie",98,"w","Pankow",2012
"Paul",69,"m","Pankow",2012
"Charlotte",65,"w","Pankow",2012
"Alexander",63,"m","Pankow",2012
"Maria",52,"w","Pankow",2012
"Maximilian",51,"m","Pankow",2012
"Emma",49,"w","Pankow",2012
"Emil",45,"m","Pankow",2012
"Luca",45,"m","Pankow",2012
"Anna",43,"w","Pankow",2012
"Anton",42,"m","Pankow",2012
"Emilia",41,"w","Pankow",2012
"Felix",40,"m","Pankow",2012
"Finn",40,"m","Pankow",2012
"Tim",39,"m","Pankow",2012
"Mia",38,"w","Pankow",2012
"Elias",37,"m","Pankow",2012
"Jakob",37,"m","Pankow",2012
"Oskar",37,"m","Pankow",2012
"Johanna",35,"w","Pankow",2012
"Luise",35,"w","Pankow",2012
"Ben",35,"m","Pankow",2012
"Louis",34,"m","Pankow",2012
"Leon",33,"m","Pankow",2012
"Lukas",33,"m","Pankow",2012
"Jonas",31,"m","Pankow",2012
"Max",31,"m","Pankow",2012
"Helena",30,"w","Pankow",2012
"Helene",30,"w","Pankow",2012
"Elisabeth",29,"w","Pankow",2012
"Lina",29,"w","Pankow",2012
"Sophia",29,"w","Pankow",2012
"Hannah",28,"w","Pankow",2012
"Lea",27,"w","Pankow",2012
"Ole",26,"m","Pankow",2012
"Hanna",25,"w","Pankow",2012
"Luisa",25,"w","Pankow",2012
"Julian",25,"m","Pankow",2012
"Marlene",25,"w","Pankow",2012
"Karl",25,"m","Pankow",2012
"Moritz",25,"m","Pankow",2012
"Nele",24,"w","Pankow",2012
"Emily",23,"w","Pankow",2012
"Noah",23,"m","Pankow",2012
"Mathilda",23,"w","Pankow",2012
"Arthur",22,"m","Pankow",2012
"Lara",22,"w","Pankow",2012
"Benjamin",22,"m","Pankow",2012
"Julius",22,"m","Pankow",2012
"Vincent",22,"m","Pankow",2012
"Jonathan",21,"m","Pankow",2012
"Bruno",20,"m","Pankow",2012
"Erik",20,"m","Pankow",2012
"Lennard",20,"m","Pankow",2012
"Lennox",20,"m","Pankow",2012
"Niklas",20,"m","Pankow",2012
"Philipp",20,"m","Pankow",2012
"Laura",19,"w","Pankow",2012
"Lena",19,"w","Pankow",2012
"Florian",19,"m","Pankow",2012
"Mika",19,"m","Pankow",2012
"Richard",19,"m","Pankow",2012
"Tom",19,"m","Pankow",2012
"Amelie",18,"w","Pankow",2012
"Greta",18,"w","Pankow",2012
"Isabella",18,"w","Pankow",2012
"Leonie",18,"w","Pankow",2012
"Melina",18,"w","Pankow",2012
"Pauline",18,"w","Pankow",2012
"Pia",18,"w","Pankow",2012
"Leander",18,"m","Pankow",2012
"Theo",18,"m","Pankow",2012
"Friedrich",17,"m","Pankow",2012
"Joel",17,"m","Pankow",2012
"Michael",17,"m","Pankow",2012
"Clara",16,"w","Pankow",2012
"Frida",16,"w","Pankow",2012
"Lisa",16,"w","Pankow",2012
"Jan",16,"m","Pankow",2012
"Maxim",16,"m","Pankow",2012
"Tobias",16,"m","Pankow",2012
"Valentin",16,"m","Pankow",2012
"Antonia",15,"w","Pankow",2012
"Ella",15,"w","Pankow",2012
"Frieda",15,"w","Pankow",2012
"Friederike",15,"w","Pankow",2012
"Ida",15,"w","Pankow",2012
"Lotte",15,"w","Pankow",2012
"Matilda",15,"w","Pankow",2012
"Fritz",15,"m","Pankow",2012
"Levi",15,"m","Pankow",2012
"Simon",15,"m","Pankow",2012
"Theodor",15,"m","Pankow",2012
"Leni",14,"w","Pankow",2012
"Lotta",14,"w","Pankow",2012
"Victoria",14,"w","Pankow",2012
"August",14,"m","Pankow",2012
"John",14,"m","Pankow",2012
"Konstantin",14,"m","Pankow",2012
"Linus",14,"m","Pankow",2012
"Luis",14,"m","Pankow",2012
"Robert",14,"m","Pankow",2012
"Samuel",14,"m","Pankow",2012
"Eva",13,"w","Pankow",2012
"Fabienne",13,"w","Pankow",2012
"Josephine",13,"w","Pankow",2012
"Lilly",13,"w","Pankow",2012
"Martha",13,"w","Pankow",2012
"David",13,"m","Pankow",2012
"Georg",13,"m","Pankow",2012
